,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
180,MNSO,MINISO Group Holding Limited,,22.01 -0.42 (-1.87%),-0.42,-1.87%,9438,996798,6.742B,20.77,+33.12%,13.95 27.71
181,NVMI,Nova Ltd.,,319.06 +16.78 (+5.55%),16.78,+5.55%,503228,400751,9.461B,43.29,+60.54%,154.00 336.96
182,STRL,"Sterling Infrastructure, Inc.",,345.00 -10.27 (-2.89%),-10.27,-2.89%,4346,516332,10.593B,37.50,+127.58%,96.34 376.75
183,NXPI,NXP Semiconductors N.V.,,216.70 +11.33 (+5.52%),11.33,+5.52%,2.534M,2.538M,54.633B,25.83,-6.94%,148.09 256.62
184,DDS,"Dillard's, Inc.",,611.25 +31.93 (+5.51%),31.93,+5.51%,683,126014,9.543B,16.86,+62.34%,282.24 637.73
185,DK,"Delek US Holdings, Inc.",,33.44 -0.57 (-1.67%),-0.57,-1.67%,12318,2.037M,2.011B,--,+97.17%,11.03 35.96
186,TSLA,"Tesla, Inc.",,426.56 -9.34 (-2.14%),-9.34,-2.14%,3.404M,89.498M,1.418T,250.92,+98.52%,212.11 488.54
187,TPR,"Tapestry, Inc.",,112.29 -1.78 (-1.56%),-1.78,-1.56%,22202,3.893M,23.245B,136.94,+152.35%,43.07 117.77
188,QCOM,QUALCOMM Incorporated,,159.30 -2.48 (-1.53%),-2.48,-1.53%,468871,7.881M,171.885B,15.39,-7.07%,120.80 182.10
189,FLY,Firefly Aerospace Inc.,,29.88 +1.52 (+5.36%),1.52,+5.36%,1.511M,2.544M,4.379B,--,-50.49%,26.05 73.80
190,SHAK,Shake Shack Inc.,,89.99 -1.39 (-1.52%),-1.39,-1.52%,8174,1.361M,3.841B,191.47,-17.17%,72.93 144.65
191,BEPC,Brookfield Renewable Corporation,,39.00 -0.63 (-1.59%),-0.63,-1.59%,10517,861775,6.642B,--,+32.76%,23.73 39.63
192,TER,"Teradyne, Inc.",,139.13 +7.05 (+5.34%),7.05,+5.34%,3.15M,4.06M,22.132B,48.31,+9.24%,65.77 150.71
193,TXRH,"Texas Roadhouse, Inc.",,171.96 +8.63 (+5.28%),8.63,+5.28%,615,1.086M,11.427B,26.25,-5.31%,148.73 206.04
194,FIG,"Figma, Inc.",,64.28 +3.22 (+5.27%),3.22,+5.27%,332862,13.367M,31.483B,--,-44.35%,49.53 142.92
195,SBET,"SharpLink Gaming, Inc.",,16.13 +0.80 (+5.25%),0.8,+5.25%,742309,37.469M,3.099B,--,+72.33%,2.28 124.12
196,TBBK,"The Bancorp, Inc.",,76.36 +3.80 (+5.24%),3.8,+5.24%,378254,706101,3.518B,16.42,+33.38%,40.51 80.76
197,WAL,Western Alliance Bancorporation,,78.85 +3.92 (+5.23%),3.92,+5.23%,9638,1.189M,8.703B,10.36,-13.24%,57.05 98.10
198,MEDP,"Medpace Holdings, Inc.",,527.40 +26.18 (+5.22%),26.18,+5.22%,463046,459496,14.816B,39.21,+49.28%,250.05 547.15
199,NRG,"NRG Energy, Inc.",,168.77 +8.34 (+5.20%),8.34,+5.20%,22590,2.651M,32.645B,73.06,+89.33%,79.57 175.96
200,,,,,,,,,,,,
